,model,split,auc,pr,accuracy,precision,recall,specificity,f1-score,target,window
332,mid,train,0.82,0.6783333333333332,0.7333333333333333,0.5714285714285714,0.8,0.7,0.6666666666666666,pneu,48h
333,mid,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,pneu,48h
334,ft_mid,train,0.92,0.7828571428571429,0.8,0.6666666666666666,0.8,0.8,0.7272727272727272,pneu,48h
335,ft_mid,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,pneu,48h
336,lab,train,0.8200000000000001,0.5961904761904762,0.8,0.6666666666666666,0.8,0.8,0.7272727272727272,pneu,48h
337,lab,test,0.25,0.25,0.2,0.0,0.0,0.25,0.0,pneu,48h
338,vitals,train,0.8,0.6166666666666666,0.7333333333333333,0.6,0.6,0.8,0.6,pneu,48h
339,vitals,test,1.0,1.0,0.8,0.0,0.0,1.0,0.0,pneu,48h
340,img,train,0.45000000000000007,0.3142857142857143,0.6666666666666666,0.0,0.0,1.0,0.0,pneu,48h
341,img,test,0.875,0.5,0.8,0.0,0.0,1.0,0.0,pneu,48h
342,static,train,0.8,0.6787301587301586,0.6666666666666666,0.5,0.8,0.6,0.6153846153846154,pneu,48h
343,static,test,0.25,0.2,0.8,0.0,0.0,1.0,0.0,pneu,48h
344,late,train,0.74,0.5253968253968254,0.6666666666666666,0.5,0.8,0.6,0.6153846153846154,pneu,48h
345,late,test,0.0,0.2,0.8,0.0,0.0,1.0,0.0,pneu,48h
346,ft_late,train,0.9,0.8711111111111112,0.8,0.75,0.6,0.9,0.6666666666666665,pneu,48h
347,ft_late,test,0.5,0.3333333333333333,0.4,0.0,0.0,0.5,0.0,pneu,48h
348,mid,train,0.9600000000000001,0.9428571428571428,0.8666666666666667,1.0,0.6,1.0,0.7499999999999999,pneu,48h
349,mid,test,0.5,0.3333333333333333,0.4,0.0,0.0,0.5,0.0,pneu,48h
350,ft_mid,train,0.9199999999999999,0.885,0.8,0.75,0.6,0.9,0.6666666666666665,pneu,48h
351,ft_mid,test,0.5,0.3333333333333333,0.4,0.0,0.0,0.5,0.0,pneu,48h
352,lab,train,0.8409090909090908,0.7152777777777778,0.8,0.6666666666666666,0.5,0.9090909090909091,0.5714285714285715,pneu,48h
353,lab,test,0.33333333333333337,0.41666666666666663,0.4,0.3333333333333333,0.5,0.3333333333333333,0.4,pneu,48h
354,vitals,train,0.9318181818181818,0.8041666666666667,0.8666666666666667,0.75,0.75,0.9090909090909091,0.75,pneu,48h
355,vitals,test,0.8333333333333334,0.8333333333333333,0.6,0.5,0.5,0.6666666666666666,0.5,pneu,48h
356,img,train,0.4318181818181818,0.2583333333333333,0.7333333333333333,0.0,0.0,1.0,0.0,pneu,48h
357,img,test,0.7500000000000001,0.5833333333333333,0.6,0.5,0.5,0.6666666666666666,0.5,pneu,48h
358,static,train,0.4772727272727273,0.3390151515151515,0.4,0.2727272727272727,0.75,0.2727272727272727,0.39999999999999997,pneu,48h
359,static,test,0.5,0.5,0.4,0.3333333333333333,0.5,0.3333333333333333,0.4,pneu,48h
360,late,train,0.9318181818181818,0.8041666666666667,0.8666666666666667,0.75,0.75,0.9090909090909091,0.75,pneu,48h
361,late,test,0.6666666666666667,0.5833333333333333,0.6,0.5,0.5,0.6666666666666666,0.5,pneu,48h
362,ft_late,train,0.9772727272727273,0.95,0.8666666666666667,0.75,0.75,0.9090909090909091,0.75,pneu,48h
363,ft_late,test,0.5,0.5,0.4,0.3333333333333333,0.5,0.3333333333333333,0.4,pneu,48h
364,mid,train,0.9545454545454545,0.8,0.7333333333333333,0.0,0.0,1.0,0.0,pneu,48h
365,mid,test,0.8333333333333334,0.6666666666666666,0.6,0.0,0.0,1.0,0.0,pneu,48h
366,ft_mid,train,0.9545454545454545,0.8875,0.8666666666666667,0.75,0.75,0.9090909090909091,0.75,pneu,48h
367,ft_mid,test,0.8333333333333334,0.8333333333333333,0.6,0.5,0.5,0.6666666666666666,0.5,pneu,48h
368,lab,train,0.9318181818181819,0.8928571428571428,0.8666666666666667,1.0,0.5,1.0,0.6666666666666666,pneu,48h
369,lab,test,0.33333333333333337,0.45,0.4,0.0,0.0,0.6666666666666666,0.0,pneu,48h
370,vitals,train,0.9772727272727273,0.95,0.8666666666666667,0.75,0.75,0.9090909090909091,0.75,pneu,48h
371,vitals,test,1.0,1.0,0.8,1.0,0.5,1.0,0.6666666666666666,pneu,48h
372,img,train,0.39772727272727276,0.22852564102564102,0.7333333333333333,0.0,0.0,1.0,0.0,pneu,48h
373,img,test,0.75,0.75,0.6,0.0,0.0,1.0,0.0,pneu,48h
374,static,train,0.6136363636363636,0.39299242424242425,0.4666666666666667,0.3,0.75,0.36363636363636365,0.4285714285714285,pneu,48h
375,static,test,0.5,0.7,0.6,0.0,0.0,1.0,0.0,pneu,48h
376,late,train,0.9772727272727273,0.95,0.8666666666666667,0.75,0.75,0.9090909090909091,0.75,pneu,48h
377,late,test,1.0,1.0,0.8,1.0,0.5,1.0,0.6666666666666666,pneu,48h
378,ft_late,train,1.0,1.0,0.9333333333333333,1.0,0.75,1.0,0.8571428571428571,pneu,48h
379,ft_late,test,0.8333333333333334,0.8333333333333333,0.6,0.5,0.5,0.6666666666666666,0.5,pneu,48h
380,mid,train,1.0,1.0,0.9333333333333333,1.0,0.75,1.0,0.8571428571428571,pneu,48h
381,mid,test,1.0,1.0,0.8,1.0,0.5,1.0,0.6666666666666666,pneu,48h
382,ft_mid,train,0.9545454545454545,0.8,0.7333333333333333,0.0,0.0,1.0,0.0,pneu,48h
383,ft_mid,test,0.7500000000000001,0.5833333333333333,0.6,0.5,0.5,0.6666666666666666,0.5,pneu,48h
